Path,Video,Subject,SuperTrial,Capture,StartFrame,EndFrame,Gesture
datasets\jigsaw\Knot_Tying\Knot_Tying\video\Knot_Tying_B001_capture1,Knot_Tying_B001_capture1,B,B001,capture1,45,85,G12
datasets\jigsaw\Knot_Tying\Knot_Tying\video\Knot_Tying_B001_capture1,Knot_Tying_B001_capture1,B,B001,capture1,86,185,G13
datasets\jigsaw\Knot_Tying\Knot_Tying\video\Knot_Tying_B001_capture1,Knot_Tying_B001_capture1,B,B001,capture1,186,291,G13
datasets\jigsaw\Knot_Tying\Knot_Tying\video\Knot_Tying_B001_capture1,Knot_Tying_B001_capture1,B,B001,capture1,292,369,G14
datasets\jigsaw\Knot_Tying\Knot_Tying\video\Knot_Tying_B001_capture1,Knot_Tying_B001_capture1,B,B001,capture1,370,783,G15
datasets\jigsaw\Knot_Tying\Knot_Tying\video\Knot_Tying_B001_capture1,Knot_Tying_B001_capture1,B,B001,capture1,784,1259,G12
datasets\jigsaw\Knot_Tying\Knot_Tying\video\Knot_Tying_B001_capture1,Knot_Tying_B001_capture1,B,B001,capture1,1260,1329,G13
datasets\jigsaw\Knot_Tying\Knot_Tying\video\Knot_Tying_B001_capture1,Knot_Tying_B001_capture1,B,B001,capture1,1330,1487,G14
datasets\jigsaw\Knot_Tying\Knot_Tying\video\Knot_Tying_B001_capture1,Knot_Tying_B001_capture1,B,B001,capture1,1488,1626,G15
datasets\jigsaw\Knot_Tying\Knot_Tying\video\Knot_Tying_B001_capture1,Knot_Tying_B001_capture1,B,B001,capture1,1627,1735,G11
datasets\jigsaw\Knot_Tying\Knot_Tying\video\Knot_Tying_B001_capture2,Knot_Tying_B001_capture2,B,B001,capture2,45,85,G12
datasets\jigsaw\Knot_Tying\Knot_Tying\video\Knot_Tying_B001_capture2,Knot_Tying_B001_capture2,B,B001,capture2,86,185,G13
datasets\jigsaw\Knot_Tying\Knot_Tying\video\Knot_Tying_B001_capture2,Knot_Tying_B001_capture2,B,B001,capture2,186,291,G13
datasets\jigsaw\Knot_Tying\Knot_Tying\video\Knot_Tying_B001_capture2,Knot_Tying_B001_capture2,B,B001,capture2,292,369,G14
datasets\jigsaw\Knot_Tying\Knot_Tying\video\Knot_Tying_B001_capture2,Knot_Tying_B001_capture2,B,B001,capture2,370,783,G15
datasets\jigsaw\Knot_Tying\Knot_Tying\video\Knot_Tying_B001_capture2,Knot_Tying_B001_capture2,B,B001,capture2,784,1259,G12
datasets\jigsaw\Knot_Tying\Knot_Tying\video\Knot_Tying_B001_capture2,Knot_Tying_B001_capture2,B,B001,capture2,1260,1329,G13
datasets\jigsaw\Knot_Tying\Knot_Tying\video\Knot_Tying_B001_capture2,Knot_Tying_B001_capture2,B,B001,capture2,1330,1487,G14
datasets\jigsaw\Knot_Tying\Knot_Tying\video\Knot_Tying_B001_capture2,Knot_Tying_B001_capture2,B,B001,capture2,1488,1626,G15
datasets\jigsaw\Knot_Tying\Knot_Tying\video\Knot_Tying_B001_capture2,Knot_Tying_B001_capture2,B,B001,capture2,1627,1735,G11
datasets\jigsaw\Knot_Tying\Knot_Tying\video\Knot_Tying_B002_capture1,Knot_Tying_B002_capture1,B,B002,capture1,37,159,G12
datasets\jigsaw\Knot_Tying\Knot_Tying\video\Knot_Tying_B002_capture1,Knot_Tying_B002_capture1,B,B002,capture1,160,254,G13
datasets\jigsaw\Knot_Tying\Knot_Tying\video\Knot_Tying_B002_capture1,Knot_Tying_B002_capture1,B,B002,capture1,255,309,G14
datasets\jigsaw\Knot_Tying\Knot_Tying\video\Knot_Tying_B002_capture1,Knot_Tying_B002_capture1,B,B002,capture1,310,659,G15
datasets\jigsaw\Knot_Tying\Knot_Tying\video\Knot_Tying_B002_capture1,Knot_Tying_B002_capture1,B,B002,capture1,660,816,G12
datasets\jigsaw\Knot_Tying\Knot_Tying\video\Knot_Tying_B002_capture1,Knot_Tying_B002_capture1,B,B002,capture1,817,1002,G13
datasets\jigsaw\Knot_Tying\Knot_Tying\video\Knot_Tying_B002_capture1,Knot_Tying_B002_capture1,B,B002,capture1,1003,1023,G14
datasets\jigsaw\Knot_Tying\Knot_Tying\video\Knot_Tying_B002_capture1,Knot_Tying_B002_capture1,B,B002,capture1,1024,1199,G15
datasets\jigsaw\Knot_Tying\Knot_Tying\video\Knot_Tying_B002_capture1,Knot_Tying_B002_capture1,B,B002,capture1,1200,1260,G11
