Path,Video,Subject,SuperTrial,Capture,StartFrame,EndFrame,Gesture
datasets\jigsaw\Needle_Passing\Needle_Passing\video\Needle_Passing_B001_capture1,Needle_Passing_B001_capture1,B,B001,capture1,166,586,G1
datasets\jigsaw\Needle_Passing\Needle_Passing\video\Needle_Passing_B001_capture1,Needle_Passing_B001_capture1,B,B001,capture1,587,794,G2
datasets\jigsaw\Needle_Passing\Needle_Passing\video\Needle_Passing_B001_capture1,Needle_Passing_B001_capture1,B,B001,capture1,795,821,G3
datasets\jigsaw\Needle_Passing\Needle_Passing\video\Needle_Passing_B001_capture1,Needle_Passing_B001_capture1,B,B001,capture1,822,962,G6
datasets\jigsaw\Needle_Passing\Needle_Passing\video\Needle_Passing_B001_capture1,Needle_Passing_B001_capture1,B,B001,capture1,963,1113,G4
datasets\jigsaw\Needle_Passing\Needle_Passing\video\Needle_Passing_B001_capture1,Needle_Passing_B001_capture1,B,B001,capture1,1114,1448,G2
datasets\jigsaw\Needle_Passing\Needle_Passing\video\Needle_Passing_B001_capture1,Needle_Passing_B001_capture1,B,B001,capture1,1449,1492,G3
datasets\jigsaw\Needle_Passing\Needle_Passing\video\Needle_Passing_B001_capture1,Needle_Passing_B001_capture1,B,B001,capture1,1493,1631,G6
datasets\jigsaw\Needle_Passing\Needle_Passing\video\Needle_Passing_B001_capture1,Needle_Passing_B001_capture1,B,B001,capture1,1632,1775,G4
datasets\jigsaw\Needle_Passing\Needle_Passing\video\Needle_Passing_B001_capture1,Needle_Passing_B001_capture1,B,B001,capture1,1776,2184,G2
datasets\jigsaw\Needle_Passing\Needle_Passing\video\Needle_Passing_B001_capture1,Needle_Passing_B001_capture1,B,B001,capture1,2185,2340,G3
datasets\jigsaw\Needle_Passing\Needle_Passing\video\Needle_Passing_B001_capture1,Needle_Passing_B001_capture1,B,B001,capture1,2341,2498,G6
datasets\jigsaw\Needle_Passing\Needle_Passing\video\Needle_Passing_B001_capture1,Needle_Passing_B001_capture1,B,B001,capture1,2499,2655,G4
datasets\jigsaw\Needle_Passing\Needle_Passing\video\Needle_Passing_B001_capture1,Needle_Passing_B001_capture1,B,B001,capture1,2656,2875,G2
datasets\jigsaw\Needle_Passing\Needle_Passing\video\Needle_Passing_B001_capture1,Needle_Passing_B001_capture1,B,B001,capture1,2876,2922,G3
datasets\jigsaw\Needle_Passing\Needle_Passing\video\Needle_Passing_B001_capture1,Needle_Passing_B001_capture1,B,B001,capture1,2923,3056,G6
datasets\jigsaw\Needle_Passing\Needle_Passing\video\Needle_Passing_B001_capture1,Needle_Passing_B001_capture1,B,B001,capture1,3057,3330,G11
datasets\jigsaw\Needle_Passing\Needle_Passing\video\Needle_Passing_B001_capture2,Needle_Passing_B001_capture2,B,B001,capture2,166,586,G1
datasets\jigsaw\Needle_Passing\Needle_Passing\video\Needle_Passing_B001_capture2,Needle_Passing_B001_capture2,B,B001,capture2,587,794,G2
datasets\jigsaw\Needle_Passing\Needle_Passing\video\Needle_Passing_B001_capture2,Needle_Passing_B001_capture2,B,B001,capture2,795,821,G3
datasets\jigsaw\Needle_Passing\Needle_Passing\video\Needle_Passing_B001_capture2,Needle_Passing_B001_capture2,B,B001,capture2,822,962,G6
datasets\jigsaw\Needle_Passing\Needle_Passing\video\Needle_Passing_B001_capture2,Needle_Passing_B001_capture2,B,B001,capture2,963,1113,G4
datasets\jigsaw\Needle_Passing\Needle_Passing\video\Needle_Passing_B001_capture2,Needle_Passing_B001_capture2,B,B001,capture2,1114,1448,G2
datasets\jigsaw\Needle_Passing\Needle_Passing\video\Needle_Passing_B001_capture2,Needle_Passing_B001_capture2,B,B001,capture2,1449,1492,G3
datasets\jigsaw\Needle_Passing\Needle_Passing\video\Needle_Passing_B001_capture2,Needle_Passing_B001_capture2,B,B001,capture2,1493,1631,G6
datasets\jigsaw\Needle_Passing\Needle_Passing\video\Needle_Passing_B001_capture2,Needle_Passing_B001_capture2,B,B001,capture2,1632,1775,G4
datasets\jigsaw\Needle_Passing\Needle_Passing\video\Needle_Passing_B001_capture2,Needle_Passing_B001_capture2,B,B001,capture2,1776,2184,G2
datasets\jigsaw\Needle_Passing\Needle_Passing\video\Needle_Passing_B001_capture2,Needle_Passing_B001_capture2,B,B001,capture2,2185,2340,G3
datasets\jigsaw\Needle_Passing\Needle_Passing\video\Needle_Passing_B001_capture2,Needle_Passing_B001_capture2,B,B001,capture2,2341,2498,G6
datasets\jigsaw\Needle_Passing\Needle_Passing\video\Needle_Passing_B001_capture2,Needle_Passing_B001_capture2,B,B001,capture2,2499,2655,G4
datasets\jigsaw\Needle_Passing\Needle_Passing\video\Needle_Passing_B001_capture2,Needle_Passing_B001_capture2,B,B001,capture2,2656,2875,G2
datasets\jigsaw\Needle_Passing\Needle_Passing\video\Needle_Passing_B001_capture2,Needle_Passing_B001_capture2,B,B001,capture2,2876,2922,G3
datasets\jigsaw\Needle_Passing\Needle_Passing\video\Needle_Passing_B001_capture2,Needle_Passing_B001_capture2,B,B001,capture2,2923,3056,G6
datasets\jigsaw\Needle_Passing\Needle_Passing\video\Needle_Passing_B001_capture2,Needle_Passing_B001_capture2,B,B001,capture2,3057,3330,G11
datasets\jigsaw\Needle_Passing\Needle_Passing\video\Needle_Passing_B002_capture1,Needle_Passing_B002_capture1,B,B002,capture1,32,337,G1
datasets\jigsaw\Needle_Passing\Needle_Passing\video\Needle_Passing_B002_capture1,Needle_Passing_B002_capture1,B,B002,capture1,338,522,G2
datasets\jigsaw\Needle_Passing\Needle_Passing\video\Needle_Passing_B002_capture1,Needle_Passing_B002_capture1,B,B002,capture1,523,625,G3
datasets\jigsaw\Needle_Passing\Needle_Passing\video\Needle_Passing_B002_capture1,Needle_Passing_B002_capture1,B,B002,capture1,626,1132,G6
datasets\jigsaw\Needle_Passing\Needle_Passing\video\Needle_Passing_B002_capture1,Needle_Passing_B002_capture1,B,B002,capture1,1133,1301,G4
datasets\jigsaw\Needle_Passing\Needle_Passing\video\Needle_Passing_B002_capture1,Needle_Passing_B002_capture1,B,B002,capture1,1302,1471,G2
datasets\jigsaw\Needle_Passing\Needle_Passing\video\Needle_Passing_B002_capture1,Needle_Passing_B002_capture1,B,B002,capture1,1472,1531,G3
datasets\jigsaw\Needle_Passing\Needle_Passing\video\Needle_Passing_B002_capture1,Needle_Passing_B002_capture1,B,B002,capture1,1532,1688,G6
datasets\jigsaw\Needle_Passing\Needle_Passing\video\Needle_Passing_B002_capture1,Needle_Passing_B002_capture1,B,B002,capture1,1689,1800,G4
datasets\jigsaw\Needle_Passing\Needle_Passing\video\Needle_Passing_B002_capture1,Needle_Passing_B002_capture1,B,B002,capture1,1801,2099,G2
datasets\jigsaw\Needle_Passing\Needle_Passing\video\Needle_Passing_B002_capture1,Needle_Passing_B002_capture1,B,B002,capture1,2100,2371,G3
datasets\jigsaw\Needle_Passing\Needle_Passing\video\Needle_Passing_B002_capture1,Needle_Passing_B002_capture1,B,B002,capture1,2372,2470,G6
datasets\jigsaw\Needle_Passing\Needle_Passing\video\Needle_Passing_B002_capture1,Needle_Passing_B002_capture1,B,B002,capture1,2471,2577,G4
datasets\jigsaw\Needle_Passing\Needle_Passing\video\Needle_Passing_B002_capture1,Needle_Passing_B002_capture1,B,B002,capture1,2578,2733,G2
datasets\jigsaw\Needle_Passing\Needle_Passing\video\Needle_Passing_B002_capture1,Needle_Passing_B002_capture1,B,B002,capture1,2734,2807,G3
datasets\jigsaw\Needle_Passing\Needle_Passing\video\Needle_Passing_B002_capture1,Needle_Passing_B002_capture1,B,B002,capture1,2808,2931,G6
datasets\jigsaw\Needle_Passing\Needle_Passing\video\Needle_Passing_B002_capture1,Needle_Passing_B002_capture1,B,B002,capture1,2932,3080,G11
datasets\jigsaw\Needle_Passing\Needle_Passing\video\Needle_Passing_B002_capture2,Needle_Passing_B002_capture2,B,B002,capture2,32,337,G1
datasets\jigsaw\Needle_Passing\Needle_Passing\video\Needle_Passing_B002_capture2,Needle_Passing_B002_capture2,B,B002,capture2,338,522,G2
datasets\jigsaw\Needle_Passing\Needle_Passing\video\Needle_Passing_B002_capture2,Needle_Passing_B002_capture2,B,B002,capture2,523,625,G3
datasets\jigsaw\Needle_Passing\Needle_Passing\video\Needle_Passing_B002_capture2,Needle_Passing_B002_capture2,B,B002,capture2,626,1132,G6
datasets\jigsaw\Needle_Passing\Needle_Passing\video\Needle_Passing_B002_capture2,Needle_Passing_B002_capture2,B,B002,capture2,1133,1301,G4
datasets\jigsaw\Needle_Passing\Needle_Passing\video\Needle_Passing_B002_capture2,Needle_Passing_B002_capture2,B,B002,capture2,1302,1471,G2
datasets\jigsaw\Needle_Passing\Needle_Passing\video\Needle_Passing_B002_capture2,Needle_Passing_B002_capture2,B,B002,capture2,1472,1531,G3
datasets\jigsaw\Needle_Passing\Needle_Passing\video\Needle_Passing_B002_capture2,Needle_Passing_B002_capture2,B,B002,capture2,1532,1688,G6
datasets\jigsaw\Needle_Passing\Needle_Passing\video\Needle_Passing_B002_capture2,Needle_Passing_B002_capture2,B,B002,capture2,1689,1800,G4
datasets\jigsaw\Needle_Passing\Needle_Passing\video\Needle_Passing_B002_capture2,Needle_Passing_B002_capture2,B,B002,capture2,1801,2099,G2
datasets\jigsaw\Needle_Passing\Needle_Passing\video\Needle_Passing_B002_capture2,Needle_Passing_B002_capture2,B,B002,capture2,2100,2371,G3
datasets\jigsaw\Needle_Passing\Needle_Passing\video\Needle_Passing_B002_capture2,Needle_Passing_B002_capture2,B,B002,capture2,2372,2470,G6
datasets\jigsaw\Needle_Passing\Needle_Passing\video\Needle_Passing_B002_capture2,Needle_Passing_B002_capture2,B,B002,capture2,2471,2577,G4
datasets\jigsaw\Needle_Passing\Needle_Passing\video\Needle_Passing_B002_capture2,Needle_Passing_B002_capture2,B,B002,capture2,2578,2733,G2
datasets\jigsaw\Needle_Passing\Needle_Passing\video\Needle_Passing_B002_capture2,Needle_Passing_B002_capture2,B,B002,capture2,2734,2807,G3
datasets\jigsaw\Needle_Passing\Needle_Passing\video\Needle_Passing_B002_capture2,Needle_Passing_B002_capture2,B,B002,capture2,2808,2931,G6
datasets\jigsaw\Needle_Passing\Needle_Passing\video\Needle_Passing_B002_capture2,Needle_Passing_B002_capture2,B,B002,capture2,2932,3080,G11
datasets\jigsaw\Needle_Passing\Needle_Passing\video\Needle_Passing_B003_capture1,Needle_Passing_B003_capture1,B,B003,capture1,38,173,G1
datasets\jigsaw\Needle_Passing\Needle_Passing\video\Needle_Passing_B003_capture1,Needle_Passing_B003_capture1,B,B003,capture1,174,611,G2
datasets\jigsaw\Needle_Passing\Needle_Passing\video\Needle_Passing_B003_capture1,Needle_Passing_B003_capture1,B,B003,capture1,612,715,G3
datasets\jigsaw\Needle_Passing\Needle_Passing\video\Needle_Passing_B003_capture1,Needle_Passing_B003_capture1,B,B003,capture1,716,840,G6
datasets\jigsaw\Needle_Passing\Needle_Passing\video\Needle_Passing_B003_capture1,Needle_Passing_B003_capture1,B,B003,capture1,841,962,G4
datasets\jigsaw\Needle_Passing\Needle_Passing\video\Needle_Passing_B003_capture1,Needle_Passing_B003_capture1,B,B003,capture1,963,1456,G2
datasets\jigsaw\Needle_Passing\Needle_Passing\video\Needle_Passing_B003_capture1,Needle_Passing_B003_capture1,B,B003,capture1,1457,1583,G3
datasets\jigsaw\Needle_Passing\Needle_Passing\video\Needle_Passing_B003_capture1,Needle_Passing_B003_capture1,B,B003,capture1,1584,1772,G6
datasets\jigsaw\Needle_Passing\Needle_Passing\video\Needle_Passing_B003_capture1,Needle_Passing_B003_capture1,B,B003,capture1,1773,2014,G4
datasets\jigsaw\Needle_Passing\Needle_Passing\video\Needle_Passing_B003_capture1,Needle_Passing_B003_capture1,B,B003,capture1,2015,2215,G2
datasets\jigsaw\Needle_Passing\Needle_Passing\video\Needle_Passing_B003_capture1,Needle_Passing_B003_capture1,B,B003,capture1,2216,2445,G6
datasets\jigsaw\Needle_Passing\Needle_Passing\video\Needle_Passing_B003_capture1,Needle_Passing_B003_capture1,B,B003,capture1,2446,2562,G4
datasets\jigsaw\Needle_Passing\Needle_Passing\video\Needle_Passing_B003_capture1,Needle_Passing_B003_capture1,B,B003,capture1,2563,2750,G2
datasets\jigsaw\Needle_Passing\Needle_Passing\video\Needle_Passing_B003_capture1,Needle_Passing_B003_capture1,B,B003,capture1,2751,2845,G3
datasets\jigsaw\Needle_Passing\Needle_Passing\video\Needle_Passing_B003_capture1,Needle_Passing_B003_capture1,B,B003,capture1,2846,2965,G6
datasets\jigsaw\Needle_Passing\Needle_Passing\video\Needle_Passing_B003_capture1,Needle_Passing_B003_capture1,B,B003,capture1,2966,3238,G11
datasets\jigsaw\Needle_Passing\Needle_Passing\video\Needle_Passing_B003_capture2,Needle_Passing_B003_capture2,B,B003,capture2,38,173,G1
datasets\jigsaw\Needle_Passing\Needle_Passing\video\Needle_Passing_B003_capture2,Needle_Passing_B003_capture2,B,B003,capture2,174,611,G2
datasets\jigsaw\Needle_Passing\Needle_Passing\video\Needle_Passing_B003_capture2,Needle_Passing_B003_capture2,B,B003,capture2,612,715,G3
datasets\jigsaw\Needle_Passing\Needle_Passing\video\Needle_Passing_B003_capture2,Needle_Passing_B003_capture2,B,B003,capture2,716,840,G6
datasets\jigsaw\Needle_Passing\Needle_Passing\video\Needle_Passing_B003_capture2,Needle_Passing_B003_capture2,B,B003,capture2,841,962,G4
datasets\jigsaw\Needle_Passing\Needle_Passing\video\Needle_Passing_B003_capture2,Needle_Passing_B003_capture2,B,B003,capture2,963,1456,G2
datasets\jigsaw\Needle_Passing\Needle_Passing\video\Needle_Passing_B003_capture2,Needle_Passing_B003_capture2,B,B003,capture2,1457,1583,G3
datasets\jigsaw\Needle_Passing\Needle_Passing\video\Needle_Passing_B003_capture2,Needle_Passing_B003_capture2,B,B003,capture2,1584,1772,G6
datasets\jigsaw\Needle_Passing\Needle_Passing\video\Needle_Passing_B003_capture2,Needle_Passing_B003_capture2,B,B003,capture2,1773,2014,G4
datasets\jigsaw\Needle_Passing\Needle_Passing\video\Needle_Passing_B003_capture2,Needle_Passing_B003_capture2,B,B003,capture2,2015,2215,G2
datasets\jigsaw\Needle_Passing\Needle_Passing\video\Needle_Passing_B003_capture2,Needle_Passing_B003_capture2,B,B003,capture2,2216,2445,G6
datasets\jigsaw\Needle_Passing\Needle_Passing\video\Needle_Passing_B003_capture2,Needle_Passing_B003_capture2,B,B003,capture2,2446,2562,G4
datasets\jigsaw\Needle_Passing\Needle_Passing\video\Needle_Passing_B003_capture2,Needle_Passing_B003_capture2,B,B003,capture2,2563,2750,G2
datasets\jigsaw\Needle_Passing\Needle_Passing\video\Needle_Passing_B003_capture2,Needle_Passing_B003_capture2,B,B003,capture2,2751,2845,G3
datasets\jigsaw\Needle_Passing\Needle_Passing\video\Needle_Passing_B003_capture2,Needle_Passing_B003_capture2,B,B003,capture2,2846,2965,G6
datasets\jigsaw\Needle_Passing\Needle_Passing\video\Needle_Passing_B003_capture2,Needle_Passing_B003_capture2,B,B003,capture2,2966,3238,G11
datasets\jigsaw\Needle_Passing\Needle_Passing\video\Needle_Passing_B004_capture1,Needle_Passing_B004_capture1,B,B004,capture1,31,185,G1
datasets\jigsaw\Needle_Passing\Needle_Passing\video\Needle_Passing_B004_capture1,Needle_Passing_B004_capture1,B,B004,capture1,186,515,G2
datasets\jigsaw\Needle_Passing\Needle_Passing\video\Needle_Passing_B004_capture1,Needle_Passing_B004_capture1,B,B004,capture1,516,686,G3
datasets\jigsaw\Needle_Passing\Needle_Passing\video\Needle_Passing_B004_capture1,Needle_Passing_B004_capture1,B,B004,capture1,687,872,G6
datasets\jigsaw\Needle_Passing\Needle_Passing\video\Needle_Passing_B004_capture1,Needle_Passing_B004_capture1,B,B004,capture1,873,980,G4
datasets\jigsaw\Needle_Passing\Needle_Passing\video\Needle_Passing_B004_capture1,Needle_Passing_B004_capture1,B,B004,capture1,981,1199,G2
datasets\jigsaw\Needle_Passing\Needle_Passing\video\Needle_Passing_B004_capture1,Needle_Passing_B004_capture1,B,B004,capture1,1200,1282,G3
datasets\jigsaw\Needle_Passing\Needle_Passing\video\Needle_Passing_B004_capture1,Needle_Passing_B004_capture1,B,B004,capture1,1283,1392,G6
