Path,Video,Subject,SuperTrial,Capture,StartFrame,EndFrame,Gesture
datasets\jigsaw\Suturing\Suturing\video\Suturing_B001_capture1,Suturing_B001_capture1,B,B001,capture1,80,219,G1
datasets\jigsaw\Suturing\Suturing\video\Suturing_B001_capture1,Suturing_B001_capture1,B,B001,capture1,220,370,G5
datasets\jigsaw\Suturing\Suturing\video\Suturing_B001_capture1,Suturing_B001_capture1,B,B001,capture1,371,590,G8
datasets\jigsaw\Suturing\Suturing\video\Suturing_B001_capture1,Suturing_B001_capture1,B,B001,capture1,591,660,G2
datasets\jigsaw\Suturing\Suturing\video\Suturing_B001_capture1,Suturing_B001_capture1,B,B001,capture1,661,954,G3
datasets\jigsaw\Suturing\Suturing\video\Suturing_B001_capture1,Suturing_B001_capture1,B,B001,capture1,955,1097,G8
datasets\jigsaw\Suturing\Suturing\video\Suturing_B001_capture1,Suturing_B001_capture1,B,B001,capture1,1098,1124,G2
datasets\jigsaw\Suturing\Suturing\video\Suturing_B001_capture1,Suturing_B001_capture1,B,B001,capture1,1125,1401,G3
datasets\jigsaw\Suturing\Suturing\video\Suturing_B001_capture1,Suturing_B001_capture1,B,B001,capture1,1402,1439,G2
datasets\jigsaw\Suturing\Suturing\video\Suturing_B001_capture1,Suturing_B001_capture1,B,B001,capture1,1440,1698,G8
datasets\jigsaw\Suturing\Suturing\video\Suturing_B001_capture1,Suturing_B001_capture1,B,B001,capture1,1699,1783,G2
datasets\jigsaw\Suturing\Suturing\video\Suturing_B001_capture1,Suturing_B001_capture1,B,B001,capture1,1784,2285,G3
datasets\jigsaw\Suturing\Suturing\video\Suturing_B001_capture1,Suturing_B001_capture1,B,B001,capture1,2286,2495,G6
datasets\jigsaw\Suturing\Suturing\video\Suturing_B001_capture1,Suturing_B001_capture1,B,B001,capture1,2496,2679,G4
datasets\jigsaw\Suturing\Suturing\video\Suturing_B001_capture1,Suturing_B001_capture1,B,B001,capture1,2680,2750,G2
datasets\jigsaw\Suturing\Suturing\video\Suturing_B001_capture1,Suturing_B001_capture1,B,B001,capture1,2751,2976,G3
datasets\jigsaw\Suturing\Suturing\video\Suturing_B001_capture1,Suturing_B001_capture1,B,B001,capture1,2977,3155,G6
datasets\jigsaw\Suturing\Suturing\video\Suturing_B001_capture1,Suturing_B001_capture1,B,B001,capture1,3156,3308,G4
datasets\jigsaw\Suturing\Suturing\video\Suturing_B001_capture1,Suturing_B001_capture1,B,B001,capture1,3309,3659,G2
datasets\jigsaw\Suturing\Suturing\video\Suturing_B001_capture1,Suturing_B001_capture1,B,B001,capture1,3660,4011,G3
datasets\jigsaw\Suturing\Suturing\video\Suturing_B001_capture1,Suturing_B001_capture1,B,B001,capture1,4012,4321,G8
datasets\jigsaw\Suturing\Suturing\video\Suturing_B001_capture1,Suturing_B001_capture1,B,B001,capture1,4322,4374,G2
datasets\jigsaw\Suturing\Suturing\video\Suturing_B001_capture1,Suturing_B001_capture1,B,B001,capture1,4375,4704,G3
datasets\jigsaw\Suturing\Suturing\video\Suturing_B001_capture1,Suturing_B001_capture1,B,B001,capture1,4705,4846,G6
datasets\jigsaw\Suturing\Suturing\video\Suturing_B001_capture1,Suturing_B001_capture1,B,B001,capture1,4847,4983,G4
datasets\jigsaw\Suturing\Suturing\video\Suturing_B001_capture1,Suturing_B001_capture1,B,B001,capture1,4984,5059,G2
datasets\jigsaw\Suturing\Suturing\video\Suturing_B001_capture1,Suturing_B001_capture1,B,B001,capture1,5060,5354,G3
datasets\jigsaw\Suturing\Suturing\video\Suturing_B001_capture1,Suturing_B001_capture1,B,B001,capture1,5355,5447,G6
datasets\jigsaw\Suturing\Suturing\video\Suturing_B001_capture1,Suturing_B001_capture1,B,B001,capture1,5448,5635,G11
datasets\jigsaw\Suturing\Suturing\video\Suturing_B001_capture2,Suturing_B001_capture2,B,B001,capture2,80,219,G1
datasets\jigsaw\Suturing\Suturing\video\Suturing_B001_capture2,Suturing_B001_capture2,B,B001,capture2,220,370,G5
datasets\jigsaw\Suturing\Suturing\video\Suturing_B001_capture2,Suturing_B001_capture2,B,B001,capture2,371,590,G8
datasets\jigsaw\Suturing\Suturing\video\Suturing_B001_capture2,Suturing_B001_capture2,B,B001,capture2,591,660,G2
datasets\jigsaw\Suturing\Suturing\video\Suturing_B001_capture2,Suturing_B001_capture2,B,B001,capture2,661,954,G3
datasets\jigsaw\Suturing\Suturing\video\Suturing_B001_capture2,Suturing_B001_capture2,B,B001,capture2,955,1097,G8
datasets\jigsaw\Suturing\Suturing\video\Suturing_B001_capture2,Suturing_B001_capture2,B,B001,capture2,1098,1124,G2
datasets\jigsaw\Suturing\Suturing\video\Suturing_B001_capture2,Suturing_B001_capture2,B,B001,capture2,1125,1401,G3
datasets\jigsaw\Suturing\Suturing\video\Suturing_B001_capture2,Suturing_B001_capture2,B,B001,capture2,1402,1439,G2
