id,Video,Gesture,StartFrame,EndFrame
1,Knot_Tying_B001_capture1,G12,45,85
2,Knot_Tying_B001_capture1,G13,86,185
3,Knot_Tying_B001_capture1,G13,186,291
4,Knot_Tying_B001_capture1,G14,292,369
5,Knot_Tying_B001_capture1,G15,370,783
6,Knot_Tying_B001_capture1,G12,784,1259
7,Knot_Tying_B001_capture1,G13,1260,1329
8,Knot_Tying_B001_capture1,G14,1330,1487
9,Knot_Tying_B001_capture1,G15,1488,1626
10,Knot_Tying_B001_capture1,G11,1627,1735
11,Knot_Tying_B001_capture2,G12,45,85
12,Knot_Tying_B001_capture2,G13,86,185
13,Knot_Tying_B001_capture2,G13,186,291
14,Knot_Tying_B001_capture2,G14,292,369
15,Knot_Tying_B001_capture2,G15,370,783
16,Knot_Tying_B001_capture2,G12,784,1259
17,Knot_Tying_B001_capture2,G13,1260,1329
18,Knot_Tying_B001_capture2,G14,1330,1487
19,Knot_Tying_B001_capture2,G15,1488,1626
20,Knot_Tying_B001_capture2,G11,1627,1735
21,Knot_Tying_B002_capture1,G12,37,159
22,Knot_Tying_B002_capture1,G13,160,254
23,Knot_Tying_B002_capture1,G14,255,309
24,Knot_Tying_B002_capture1,G15,310,659
25,Knot_Tying_B002_capture1,G12,660,816
26,Knot_Tying_B002_capture1,G13,817,1002
27,Knot_Tying_B002_capture1,G14,1003,1023
28,Knot_Tying_B002_capture1,G15,1024,1199
29,Knot_Tying_B002_capture1,G11,1200,1260
30,Knot_Tying_B002_capture2,G12,37,159
31,Knot_Tying_B002_capture2,G13,160,254
32,Knot_Tying_B002_capture2,G14,255,309
33,Knot_Tying_B002_capture2,G15,310,659
34,Knot_Tying_B002_capture2,G12,660,816
35,Knot_Tying_B002_capture2,G13,817,1002
36,Knot_Tying_B002_capture2,G14,1003,1023
37,Knot_Tying_B002_capture2,G15,1024,1199
38,Knot_Tying_B002_capture2,G11,1200,1260
39,Knot_Tying_B003_capture1,G12,8,132
40,Knot_Tying_B003_capture1,G13,133,230
41,Knot_Tying_B003_capture1,G14,231,313
42,Knot_Tying_B003_capture1,G15,314,743
43,Knot_Tying_B003_capture1,G12,744,843
44,Knot_Tying_B003_capture1,G13,844,954
45,Knot_Tying_B003_capture1,G14,955,1107
46,Knot_Tying_B003_capture1,G15,1108,1286
47,Knot_Tying_B003_capture1,G11,1287,1355
48,Knot_Tying_B003_capture2,G12,8,132
49,Knot_Tying_B003_capture2,G13,133,230
50,Knot_Tying_B003_capture2,G14,231,313
51,Knot_Tying_B003_capture2,G15,314,743
52,Knot_Tying_B003_capture2,G12,744,843
53,Knot_Tying_B003_capture2,G13,844,954
54,Knot_Tying_B003_capture2,G14,955,1107
55,Knot_Tying_B003_capture2,G15,1108,1286
56,Knot_Tying_B003_capture2,G11,1287,1355
57,Knot_Tying_B004_capture1,G12,55,318
58,Knot_Tying_B004_capture1,G13,319,585
59,Knot_Tying_B004_capture1,G14,586,645
60,Knot_Tying_B004_capture1,G15,646,808
61,Knot_Tying_B004_capture1,G12,809,1268
62,Knot_Tying_B004_capture1,G13,1269,1451
63,Knot_Tying_B004_capture1,G14,1452,1539
64,Knot_Tying_B004_capture1,G15,1540,1637
65,Knot_Tying_B004_capture1,G11,1790,1820
