,path1,path2,category,label,flowpath
0,images\inference-video-1\frame_00000001.jpg,images\inference-video-1\frame_00000016.jpg,inference-video-1,inference-video-1,flows\inference-video-1\flows_00000000.jpg
1,images\inference-video-1\frame_00000016.jpg,images\inference-video-1\frame_00000031.jpg,inference-video-1,inference-video-1,flows\inference-video-1\flows_00000001.jpg
2,images\inference-video-1\frame_00000031.jpg,images\inference-video-1\frame_00000046.jpg,inference-video-1,inference-video-1,flows\inference-video-1\flows_00000002.jpg
3,images\inference-video-1\frame_00000046.jpg,images\inference-video-1\frame_00000061.jpg,inference-video-1,inference-video-1,flows\inference-video-1\flows_00000003.jpg
4,images\inference-video-1\frame_00000061.jpg,images\inference-video-1\frame_00000076.jpg,inference-video-1,inference-video-1,flows\inference-video-1\flows_00000004.jpg
5,images\inference-video-1\frame_00000076.jpg,images\inference-video-1\frame_00000091.jpg,inference-video-1,inference-video-1,flows\inference-video-1\flows_00000005.jpg
6,images\inference-video-1\frame_00000091.jpg,images\inference-video-1\frame_00000106.jpg,inference-video-1,inference-video-1,flows\inference-video-1\flows_00000006.jpg
7,images\inference-video-1\frame_00000106.jpg,images\inference-video-1\frame_00000121.jpg,inference-video-1,inference-video-1,flows\inference-video-1\flows_00000007.jpg
8,images\inference-video-1\frame_00000121.jpg,images\inference-video-1\frame_00000136.jpg,inference-video-1,inference-video-1,flows\inference-video-1\flows_00000008.jpg
9,images\inference-video-1\frame_00000136.jpg,images\inference-video-1\frame_00000151.jpg,inference-video-1,inference-video-1,flows\inference-video-1\flows_00000009.jpg
10,images\inference-video-1\frame_00000151.jpg,images\inference-video-1\frame_00000166.jpg,inference-video-1,inference-video-1,flows\inference-video-1\flows_00000010.jpg
11,images\inference-video-1\frame_00000166.jpg,images\inference-video-1\frame_00000181.jpg,inference-video-1,inference-video-1,flows\inference-video-1\flows_00000011.jpg
12,images\inference-video-1\frame_00000181.jpg,images\inference-video-1\frame_00000196.jpg,inference-video-1,inference-video-1,flows\inference-video-1\flows_00000012.jpg
13,images\inference-video-1\frame_00000196.jpg,images\inference-video-1\frame_00000211.jpg,inference-video-1,inference-video-1,flows\inference-video-1\flows_00000013.jpg
14,images\inference-video-1\frame_00000211.jpg,images\inference-video-1\frame_00000226.jpg,inference-video-1,inference-video-1,flows\inference-video-1\flows_00000014.jpg
15,images\inference-video-1\frame_00000226.jpg,images\inference-video-1\frame_00000241.jpg,inference-video-1,inference-video-1,flows\inference-video-1\flows_00000015.jpg
16,images\inference-video-1\frame_00000241.jpg,images\inference-video-1\frame_00000256.jpg,inference-video-1,inference-video-1,flows\inference-video-1\flows_00000016.jpg
17,images\inference-video-1\frame_00000256.jpg,images\inference-video-1\frame_00000271.jpg,inference-video-1,inference-video-1,flows\inference-video-1\flows_00000017.jpg
18,images\inference-video-1\frame_00000271.jpg,images\inference-video-1\frame_00000286.jpg,inference-video-1,inference-video-1,flows\inference-video-1\flows_00000018.jpg
19,images\inference-video-1\frame_00000286.jpg,images\inference-video-1\frame_00000301.jpg,inference-video-1,inference-video-1,flows\inference-video-1\flows_00000019.jpg
20,images\inference-video-1\frame_00000301.jpg,images\inference-video-1\frame_00000316.jpg,inference-video-1,inference-video-1,flows\inference-video-1\flows_00000020.jpg
21,images\inference-video-1\frame_00000316.jpg,images\inference-video-1\frame_00000331.jpg,inference-video-1,inference-video-1,flows\inference-video-1\flows_00000021.jpg
22,images\inference-video-1\frame_00000331.jpg,images\inference-video-1\frame_00000346.jpg,inference-video-1,inference-video-1,flows\inference-video-1\flows_00000022.jpg
23,images\inference-video-1\frame_00000346.jpg,images\inference-video-1\frame_00000361.jpg,inference-video-1,inference-video-1,flows\inference-video-1\flows_00000023.jpg
24,images\inference-video-1\frame_00000361.jpg,images\inference-video-1\frame_00000376.jpg,inference-video-1,inference-video-1,flows\inference-video-1\flows_00000024.jpg
25,images\inference-video-1\frame_00000376.jpg,images\inference-video-1\frame_00000391.jpg,inference-video-1,inference-video-1,flows\inference-video-1\flows_00000025.jpg
26,images\inference-video-1\frame_00000391.jpg,images\inference-video-1\frame_00000406.jpg,inference-video-1,inference-video-1,flows\inference-video-1\flows_00000026.jpg
27,images\inference-video-1\frame_00000406.jpg,images\inference-video-1\frame_00000421.jpg,inference-video-1,inference-video-1,flows\inference-video-1\flows_00000027.jpg
28,images\inference-video-1\frame_00000421.jpg,images\inference-video-1\frame_00000436.jpg,inference-video-1,inference-video-1,flows\inference-video-1\flows_00000028.jpg
29,images\inference-video-1\frame_00000436.jpg,images\inference-video-1\frame_00000451.jpg,inference-video-1,inference-video-1,flows\inference-video-1\flows_00000029.jpg
30,images\inference-video-1\frame_00000451.jpg,images\inference-video-1\frame_00000466.jpg,inference-video-1,inference-video-1,flows\inference-video-1\flows_00000030.jpg
31,images\inference-video-1\frame_00000466.jpg,images\inference-video-1\frame_00000481.jpg,inference-video-1,inference-video-1,flows\inference-video-1\flows_00000031.jpg
32,images\inference-video-1\frame_00000481.jpg,images\inference-video-1\frame_00000496.jpg,inference-video-1,inference-video-1,flows\inference-video-1\flows_00000032.jpg
33,images\inference-video-1\frame_00000496.jpg,images\inference-video-1\frame_00000511.jpg,inference-video-1,inference-video-1,flows\inference-video-1\flows_00000033.jpg
34,images\inference-video-1\frame_00000511.jpg,images\inference-video-1\frame_00000526.jpg,inference-video-1,inference-video-1,flows\inference-video-1\flows_00000034.jpg
35,images\inference-video-1\frame_00000526.jpg,images\inference-video-1\frame_00000541.jpg,inference-video-1,inference-video-1,flows\inference-video-1\flows_00000035.jpg
